names	A_loading	AUCs	corrs	color
miR.124	1	0.640866873065015	0.243705805130774	Red
miR.1247	1	0.640866873065015	0.243705805130774	Red
miR.3679	0.0242694753123435	0.414860681114551	-0.147294717386732	Blue
miR.6789	0.0238720136283786	0.585139318885449	0.147294717386732	Red
miR.130b	0.0227755265979726	0.331269349845201	-0.291911349002796	Blue
miR.3186	0.0223775983813251	0.479876160990712	-0.034815115018682	Blue
miR.8057	0.0223127739754084	0.374613003095975	-0.216924947424096	Blue
miR.6773	0.0214525049098289	0.430340557275542	-0.120513859680053	Blue
miR.4681	0.0208686257319852	0.43343653250774	-0.115157688138718	Blue
miR.34a	0.0196061472013449	0.390092879256966	-0.190144089717417	Blue
miR.6870	0.0172883468501362	0.665634674922601	0.28655517746146	Red
miR.4539	0.0120123283592947	0.631578947368421	0.227637290506767	Red
miR.4279	7.98123977041534e-05	0.628482972136223	0.222281118965432	Red
miR.5587	0.00107138272728266	0.622291021671827	0.21156877588276	Red
miR.6796	0.00446067026439018	0.613003095975232	0.195500261258753	Red
miR.1	0.00140916491788605	0.613003095975232	0.195500261258753	Red
miR.3687	0.014712461758338	0.606811145510836	0.184787918176082	Red
miR.6825	0.00331393838311303	0.606811145510836	0.184787918176082	Red
