names	A_loading	AUCs	corrs	color
miR.4297	1	0.405572755417957	-0.163363232010739	Blue
miR.4473	1	0.464396284829721	-0.0615959727253606	Blue
miR.5589	0.0144575306678015	0.414860681114551	-0.147294717386732	Blue
miR.519d	0.0133431054051823	0.356037151702786	-0.24906197667211	Blue
miR.4748	0.013218172019596	0.430340557275542	-0.120513859680053	Blue
miR.4491	0.0120065778614467	0.386996904024768	-0.195500261258753	Blue
miR.5698	0.0112337064133408	0.439628482972136	-0.104445345056046	Blue
miR.6796	0.0112073422494184	0.613003095975232	0.195500261258753	Red
miR.3660	0.0110238686616288	0.430340557275542	-0.120513859680053	Blue
miR.3179	0.010996086087979	0.408668730650155	-0.158007060469403	Blue
miR.6870	0.00908873233776607	0.665634674922601	0.28655517746146	Red
miR.4539	0.00300355561484861	0.631578947368421	0.227637290506767	Red
miR.4279	0.00178471313855544	0.628482972136223	0.222281118965432	Red
miR.5587	0.00204317121165287	0.622291021671827	0.21156877588276	Red
miR.1	0.00631537251848692	0.613003095975232	0.195500261258753	Red
miR.6825	0.00485374389142827	0.606811145510836	0.184787918176082	Red
miR.3687	0.00320211121326766	0.606811145510836	0.184787918176082	Red
miR.1471	0.00207483236695679	0.606811145510836	0.184787918176082	Red
miR.1282	0.00563790615457534	0.603715170278638	0.179431746634746	Red
