names	A_loading	AUCs	corrs	color
miR.3940	1	0.438271604938272	-0.106957989135975	Blue
miR.6798	1	0.490740740740741	-0.0160436983703963	Blue
miR.4632	0.556065619978613	0.533950617283951	0.0588268940247865	Red
miR.1	0.442325473552622	0.503086419753086	0.00534789945679877	Red
miR.6727	0.433574296086643	0.462962962962963	-0.0641747934815853	Blue
miR.8071	0.369029255083069	0.432098765432099	-0.117653788049573	Blue
miR.6752	0.35857723050736	0.404320987654321	-0.165784883160762	Blue
miR.6780b	0.328968503520751	0.530864197530864	0.0534789945679877	Red
miR.6803	0.319265593320628	0.425925925925926	-0.128349586963171	Blue
miR.6799	0.306317682058548	0.447530864197531	-0.0909142907655791	Blue
miR.561	0.00705969884402156	0.796296296296296	0.513398347852682	Red
miR.6772	0.12510698251683	0.716049382716049	0.374352961975914	Red
miR.4254	0.0748804036234099	0.679012345679012	0.310178168494329	Red
miR.8052	0.0935530933993362	0.641975308641975	0.246003375012744	Red
miR.520f	0.0907433969183762	0.641975308641975	0.246003375012744	Red
miR.6788	0.0347611005974379	0.638888888888889	0.240655475555945	Red
miR.4672	0.000498804298553737	0.626543209876543	0.21926387772875	Red
miR.5003	0.00268033179504074	0.601851851851852	0.176480682074359	Red
miR.4750	0.030563618156639	0.592592592592593	0.160436983703963	Red
miR.6071	0.071660934142217	0.589506172839506	0.155089084247164	Red
