names	A_loading	AUCs	corrs	color
miR.573	1	0.740740740740741	0.417136157630304	Red
miR.5739	1	0.740740740740741	0.417136157630304	Red
miR.5093	0.510829381509347	0.780864197530864	0.486658850568688	Red
miR.561	0.367022062621307	0.796296296296296	0.513398347852682	Red
miR.3917	0.349386909239143	0.820987654320988	0.556181543507072	Red
miR.4745	0.30222866606713	0.833333333333333	0.577573141334267	Red
miR.6789	0.29532040003647	0.645061728395062	0.251351274469542	Red
miR.4644	0.284801814142964	0.623456790123457	0.213915978271951	Red
miR.4306	0.247195289613851	0.419753086419753	-0.139045385876768	Blue
miR.6088	0.244183218947517	0.66358024691358	0.283438671210335	Red
miR.6738	0.229086723743061	0.796296296296296	0.513398347852682	Red
miR.6885	0.0957478947113439	0.694444444444444	0.336917665778323	Red
miR.4673	0.160563990237766	0.691358024691358	0.331569766321524	Red
miR.876	0.131030631172862	0.682098765432099	0.315526067951128	Red
